Year,Month,Day,Type,Mag
49,5,6,Partial,0.207
50,4,25,Total,1.538
50,10,18,Total,1.599
51,4,14,Partial,0.703
51,10,8,Partial,0.885
53,8,17,Partial,0.458
54,2,10,Total,1.853
54,8,7,Total,1.792
55,1,31,Partial,0.639
56,12,10,Partial,0.424
57,6,5,Total,1.127
57,11,29,Total,1.646
58,11,18,Partial,0.737
60,4,4,Partial,0.231
61,3,24,Total,1.591
61,9,18,Total,1.665
62,3,13,Partial,0.716
62,9,7,Partial,0.658
64,1,22,Partial,0.644
64,7,16,Partial,0.493
65,1,11,Total,1.825
65,12,31,Partial,0.457
66,6,25,Partial,0.414
67,11,9,Partial,0.209
68,5,5,Total,1.397
69,4,25,Partial,0.845
69,10,18,Partial,0.912
71,3,4,Partial,0.407
73,2,10,Partial,0.68
75,6,16,Partial,0.993
75,12,11,Total,1.637
76,6,5,Total,1.417
78,4,15,Partial,0.098
78,10,9,Partial,0.386
79,4,4,Total,1.474
80,3,24,Partial,0.819
80,9,17,Partial,0.718
82,2,1,Partial,0.609
83,1,22,Total,1.847
83,7,17,Total,1.851
84,1,11,Partial,0.472
85,11,20,Partial,0.207
86,11,9,Total,1.569
89,3,15,Partial,0.331
89,9,8,Partial,0.268
90,3,4,Total,1.734
90,8,28,Total,1.566
91,8,17,Partial,0.738
93,1,1,Partial,0.394
93,12,21,Total,1.627
94,6,16,Total,1.553
94,12,10,Partial,0.754
95,6,6,Partial,0.065
96,10,20,Partial,0.358
97,10,9,Total,1.574
98,4,4,Partial,0.933
98,9,29,Partial,0.766
100,8,7,Partial,0.255
